7,2018-07-25T19:28:34.000Z,The Internet - Hive Mind ALBUM REVIEW
8,2015-04-22T13:52:52.000Z,Alabama Shakes - Sound & Color ALBUM REVIEW
8,2018-11-01T02:55:24.000Z,Current 93 - The Light Is Leaving Us All ALBUM REVIEW
6,2018-05-30T17:58:44.000Z,BTS - Love Yourself 轉 'Tear' ALBUM REVIEW
8,2016-05-24T22:38:58.000Z,Car Seat Headrest - Teens of Denial ALBUM REVIEW
8,2015-07-15T20:37:33.000Z,Everything Everything - Get to Heaven ALBUM REVIEW
6,2018-12-05T23:30:26.000Z,The 1975 - A Brief Inquiry Into Online Relationships ALBUM REVIEW
8,2014-10-27T19:21:10.000Z,Run the Jewels - Run the Jewels 2 ALBUM REVIEW
2,2018-10-26T05:40:25.000Z,Lil Yachty - Nuthin' 2 Prove ALBUM REVIEW
9,2018-10-14T17:31:49.000Z,Horrendous - Idol ALBUM REVIEW
8,2018-04-17T18:06:03.000Z,Sons of Kemet - Your Queen Is a Reptile ALBUM REVIEW
2,2018-11-22T05:19:48.000Z,Jaden Smith - The Sunset Tapes: A Cool Tape Story ALBUM REVIEW
8,2017-06-28T20:58:50.000Z,Fleet Foxes - Crack-Up ALBUM REVIEW
8,2016-04-05T13:54:49.000Z,Weezer - Weezer (The White Album) ALBUM REVIEW
8,2013-05-20T19:28:17.000Z,Daft Punk - Random Access Memories ALBUM REVIEW
7,2010-12-03T01:34:33.000Z,"Tyler, The Creator- Bastard ALBUM REVIEW"
7,2018-01-03T23:43:38.000Z,N.E.R.D - NO_ONE EVER REALLY DIES ALBUM REVIEW
6,2018-11-13T00:56:06.000Z,Metro Boomin - Not All Heroes Wear Capes ALBUM REVIEW
6,2018-10-31T02:32:40.000Z,Kurt Vile - Bottle It In ALBUM REVIEW
8,2016-08-10T22:17:00.000Z,Noname - Telefone MIXTAPE REVIEW
8,2015-02-11T21:19:16.000Z,"Father John Misty - I Love You, Honeybear ALBUM REVIEW"
8,2016-09-22T16:44:00.000Z,Touché Amoré - Stage Four ALBUM REVIEW
9,2014-02-20T16:34:35.000Z,Sun Kil Moon - Benji ALBUM REVIEW
9,2011-05-02T09:52:13.000Z,Fleet Foxes- Helplessness Blues ALBUM REVIEW
8,2016-08-23T08:10:02.000Z,Frank Ocean - Blonde ALBUM REVIEW (Endless / Boys Don't Cry)
8,2017-06-22T16:27:47.000Z,The Mountain Goats - Goths ALBUM REVIEW
3,2018-02-06T02:28:01.000Z,Justin Timberlake - Man of the Woods ALBUM REVIEW
8,2017-09-22T21:31:25.000Z,Open Mike Eagle - Brick Body Kids Still Daydream ALBUM REVIEW
8,2016-10-26T19:21:01.000Z,Conor Oberst - Ruminations ALBUM REVIEW
3,2018-02-26T17:34:59.000Z,6ix9ine - Day69 MIXTAPE REVIEW
7,2017-05-09T19:07:55.000Z,Mac DeMarco - This Old Dog ALBUM REVIEW
7,2018-01-18T01:41:06.000Z,CupcakKe - Ephorize ALBUM REVIEW
8,2018-06-05T00:36:15.000Z,Kanye West - ye ALBUM REVIEW
7,2014-07-17T15:22:30.000Z,Deadmau5 - While (1 Is Less Than 2) ALBUM REVIEW
8,2012-10-05T14:56:14.000Z,Alt-J- An Awesome Wave ALBUM REVIEW
7,2018-05-01T02:27:45.000Z,Post Malone - beerbongs & bentleys ALBUM REVIEW
6,2018-11-14T03:08:57.000Z,Sun Kil Moon - This Is My Dinner ALBUM REVIEW
9,2013-05-07T15:54:56.000Z,Altar of Plagues - Teethed Glory and Injury ALBUM REVIEW
7,2018-08-07T01:04:09.000Z,Travis Scott - Astroworld ALBUM REVIEW
8,2017-06-16T17:30:15.000Z,Kirin J Callinan - Bravado ALBUM REVIEW
7,2018-09-05T01:18:49.000Z,George Clanton - Slide ALBUM REVIEW
8,2017-09-20T16:39:41.000Z,Ariel Pink - Dedicated to Bobby Jameson ALBUM REVIEW
2,2016-02-26T21:29:35.000Z,Star Wars Head Space VARIOUS ARTISTS COMPILATION REVIEW
6,2017-11-15T19:43:05.000Z,Yung Lean - Stranger ALBUM REVIEW
7,2015-10-20T16:01:09.000Z,Neon Indian - VEGA INTL. Night School ALBUM REVIEW
